Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
145,Tuesday Sep 10,boxscore,NYY,,KCR,L,0,5,,83-62,1,up 0.5,Lugo,Stroman,,2:28,N,34485,1.39,-,
146,Wednesday Sep 11,boxscore,NYY,,KCR,W-wo,4,3,11,84-62,1,up 1.5,Weaver,Bubic,,3:17,N,40080,1.56,+,
147,Thursday Sep 12,boxscore,NYY,,BOS,W-wo,2,1,10,85-62,1,up 2.0,Holmes,Winckowski,,2:54,N,40229,1.39,++,
148,Friday Sep 13,boxscore,NYY,,BOS,W,5,4,,86-62,1,up 3.0,Leiter,Booser,Weaver,2:52,N,45292,1.33,+++,
149,Saturday Sep 14,boxscore,NYY,,BOS,L,1,7,,86-63,1,up 2.0,Bello,Cole,,2:51,D,46378,1.08,-,
150,Sunday Sep 15,boxscore,NYY,,BOS,W,5,2,,87-63,1,up 3.0,Rodón,Crawford,Kahnle,2:51,D,45552,1.40,+,
151,Tuesday Sep 17,boxscore,NYY,@,SEA,W,11,2,,88-63,1,up 4.0,Gil,Woo,Stroman,3:02,N,31668,1.15,++,
152,Wednesday Sep 18,boxscore,NYY,@,SEA,W,2,1,10,89-63,1,up 5.0,Weaver,Snider,Hamilton,3:06,N,31674,0.81,+++,
153,Thursday Sep 19,boxscore,NYY,@,SEA,L,2,3,,89-64,1,up 4.0,Gilbert,Schmidt,Muñoz,2:42,D,34255,0.44,-,
154,Friday Sep 20,boxscore,NYY,@,OAK,W,4,2,10,90-64,1,up 4.0,Cole,McFarland,Weaver,2:36,N,23426,0.67,+,
155,Saturday Sep 21,boxscore,NYY,@,OAK,W,10,0,,91-64,1,up 5.0,Rodón,Sears,,2:39,N,33198,0.63,++,
156,Sunday Sep 22,boxscore,NYY,@,OAK,W,7,4,,92-64,1,up 6.0,Gil,Estes,Weaver,2:55,D,24663,0.31,+++,
157,Tuesday Sep 24,boxscore,NYY,,BAL,L,3,5,,92-65,1,up 5.0,Kremer,Schmidt,Domínguez,3:11,N,41149,0.16,-,
158,Wednesday Sep 25,boxscore,NYY,,BAL,L,7,9,,92-66,1,up 4.0,Webb,Stroman,Akin,3:11,N,41010,0.29,--,
159,Thursday Sep 26,boxscore,NYY,,BAL,W,10,1,,93-66,1,up 5.0,Cole,Burnes,,2:50,N,42022,0.35,+,
160,Friday Sep 27,boxscore,NYY,,PIT,L,2,4,,93-67,1,up 4.0,Mlodzinski,Kahnle,Chapman,2:48,N,41778,0.18,-,
161,Saturday Sep 28,boxscore,NYY,,PIT,L,4,9,,93-68,1,up 3.0,Burrows,Gil,Chapman,2:49,D,46069,0.17,--,
162,Sunday Sep 29,boxscore,NYY,,PIT,W,6,4,,94-68,1,up 3.0,Weaver,Holderman,Holmes,2:55,D,44108,0.15,+,
163,Saturday Oct 19,preview,NYY,@,CLE,8:08 pm,8:08 pm,8:08 pm,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,,,
164,Monday Oct 21,preview,NYY,,CLE,5:08 pm,5:08 pm,5:08 pm,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,,,
165,Tuesday Oct 22,preview,NYY,,CLE,7:38 pm,7:38 pm,7:38 pm,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,,,
