latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.738136,-74.04254,51.0,-14400,America/New_York,EDT

time,temperature_2m (°F),relative_humidity_2m (%),apparent_temperature (°F),precipitation (inch),weather_code (wmo code)
2024-01-15T23:00,25.0,66,17.8,0.016,73
2024-01-16T00:00,24.8,72,17.6,0.012,73
2024-01-16T01:00,24.3,79,18.5,0.028,73
2024-01-16T02:00,24.2,81,18.6,0.020,73
2024-01-16T03:00,24.5,82,17.7,0.020,73
2024-01-16T04:00,24.4,83,17.0,0.016,73
2024-01-16T05:00,24.4,85,16.7,0.016,73
2024-01-16T06:00,24.8,85,16.7,0.024,73
2024-01-16T07:00,25.5,84,17.1,0.008,71
2024-01-16T08:00,26.0,86,17.1,0.020,73
2024-01-16T09:00,26.7,89,18.3,0.012,73
2024-01-16T10:00,27.8,90,19.5,0.020,73
2024-01-16T11:00,28.4,89,19.7,0.016,71
2024-01-16T12:00,28.5,91,20.1,0.055,61
2024-01-16T13:00,29.1,94,20.9,0.024,53
2024-01-16T14:00,29.8,94,21.1,0.016,51
2024-01-16T15:00,30.0,92,19.5,0.051,71
2024-01-16T16:00,28.7,89,19.7,0.012,71
2024-01-16T17:00,29.8,86,20.8,0.004,71
2024-01-16T18:00,29.6,85,21.1,0.004,71
2024-01-16T19:00,29.8,80,20.0,0.000,1
2024-01-16T20:00,27.8,76,17.4,0.000,1
2024-01-16T21:00,24.6,75,13.9,0.000,1
2024-01-16T22:00,23.2,70,11.5,0.000,0
2024-01-16T23:00,21.3,64,9.9,0.000,0
2024-01-17T00:00,20.2,68,10.1,0.000,0
2024-01-17T01:00,20.1,66,9.4,0.000,0
2024-01-17T02:00,19.4,64,8.5,0.000,0
2024-01-17T03:00,18.9,63,7.8,0.000,0
2024-01-17T04:00,18.3,64,7.4,0.000,0
2024-01-17T05:00,17.6,63,7.0,0.000,0
2024-01-17T06:00,17.0,63,6.6,0.000,0
2024-01-17T07:00,16.3,64,5.9,0.000,0
2024-01-17T08:00,15.5,64,5.0,0.000,0
2024-01-17T09:00,16.2,59,5.5,0.000,0
2024-01-17T10:00,17.6,53,5.7,0.000,0
2024-01-17T11:00,19.3,47,7.0,0.000,0
2024-01-17T12:00,20.9,40,8.6,0.000,0
2024-01-17T13:00,22.2,34,9.5,0.000,0
2024-01-17T14:00,23.5,32,10.4,0.000,0
2024-01-17T15:00,24.1,30,11.1,0.000,0
2024-01-17T16:00,24.0,30,11.3,0.000,0
2024-01-17T17:00,23.2,32,10.9,0.000,0
2024-01-17T18:00,21.2,39,10.4,0.000,0
2024-01-17T19:00,20.7,43,9.6,0.000,0
